inchikey,n1_frag,n3_frag,c4_frag,c5_frag,smiles_cation,smiles_neutral
QROFSPDLRZBALD-UHFFFAOYSA-N,Et,tBu,F,OMe,CC[n+]1cn(C(C)(C)C)c(F)c1OC,CCN1[C]N(C(C)(C)C)C(F)=C1OC
QRQCKXABBBYTJV-UHFFFAOYSA-N,Et,Ethynyl,CN,Me,C#Cn1c[n+](CC)c(C)c1C#N,C#CN1[C]N(CC)C(C)=C1C#N
QRQIXPUWWDWVRZ-UHFFFAOYSA-N,tBu,Allyl,OMe,NH2,C=CCn1c[n+](C(C)(C)C)c(N)c1OC,C=CCN1[C]N(C(C)(C)C)C(N)=C1OC
QRWWERBIVLNHRY-UHFFFAOYSA-N,Vinyl,Ph,H,F,C=C[n+]1cn(-c2ccccc2)cc1F,C=CN1[C]N(c2ccccc2)C=C1F
QSCCSHRXEYLNTL-UHFFFAOYSA-N,nBu,iPr,NO2,NH2,CCCC[n+]1cn(C(C)C)c([N+](=O)[O-])c1N,CCCCN1[C]N(C(C)C)C([N+](=O)[O-])=C1N
QSIGCXBYANRQBS-UHFFFAOYSA-N,Et,Vinyl,OMe,OMe,C=Cn1c[n+](CC)c(OC)c1OC,C=CN1[C]N(CC)C(OC)=C1OC
QSJGDIJMNJBBJZ-UHFFFAOYSA-N,Vinyl,Propargyl,F,NH2,C#CCn1c[n+](C=C)c(N)c1F,C#CCN1[C]N(C=C)C(N)=C1F
QSKOSDOFLYNZIJ-UHFFFAOYSA-N,Ethynyl,Propargyl,F,OMe,C#CCn1c[n+](C#C)c(OC)c1F,C#CCN1[C]N(C#C)C(OC)=C1F
QTLHHTWYZHVZCC-UHFFFAOYSA-N,tBu,Ph,NH2,CN,CC(C)(C)[n+]1cn(-c2ccccc2)c(N)c1C#N,CC(C)(C)N1[C]N(c2ccccc2)C(N)=C1C#N
QTOIFUUOQWENTJ-UHFFFAOYSA-N,nBu,Vinyl,NH2,Me,C=Cn1c[n+](CCCC)c(C)c1N,C=CN1[C]N(CCCC)C(C)=C1N
QTVDOHDIOBHRKD-UHFFFAOYSA-N,Me,Vinyl,OMe,Me,C=Cn1c[n+](C)c(C)c1OC,C=CN1[C]N(C)C(C)=C1OC
QTXMRKGVQDNFIX-UHFFFAOYSA-N,nBu,Vinyl,F,H,C=Cn1c[n+](CCCC)cc1F,C=CN1[C]N(CCCC)C=C1F
QUHLCYVKDCEOLB-UHFFFAOYSA-N,Me,Allyl,NO2,OMe,C=CCn1c[n+](C)c(OC)c1[N+](=O)[O-],C=CCN1[C]N(C)C(OC)=C1[N+](=O)[O-]
QUKHJURKGKWJJS-UHFFFAOYSA-N,Et,iPr,NH2,NH2,CC[n+]1cn(C(C)C)c(N)c1N,CCN1[C]N(C(C)C)C(N)=C1N
QUSYACZRJGCQTH-UHFFFAOYSA-N,Me,iPr,H,Me,Cc1cn(C(C)C)c[n+]1C,CC1=CN(C(C)C)[C]N1C
QUTVGKHRVIFXJV-UHFFFAOYSA-N,nBu,iPr,NH2,NO2,CCCC[n+]1cn(C(C)C)c(N)c1[N+](=O)[O-],CCCCN1[C]N(C(C)C)C(N)=C1[N+](=O)[O-]
QUVJLPCXROSKNF-UHFFFAOYSA-N,nBu,tBu,F,H,CCCC[n+]1cc(F)n(C(C)(C)C)c1,CCCCN1[C]N(C(C)(C)C)C(F)=C1
QWBVSHURCFWIRC-UHFFFAOYSA-N,Me,Ethynyl,F,H,C#Cn1c[n+](C)cc1F,C#CN1[C]N(C)C=C1F
QWCWMZMMMUGMQI-UHFFFAOYSA-N,Vinyl,Ethynyl,H,F,C#Cn1cc(F)[n+](C=C)c1,C#CN1[C]N(C=C)C(F)=C1
QWEVUWSMPQOZLE-UHFFFAOYSA-N,nBu,Allyl,H,CN,C=CCn1cc(C#N)[n+](CCCC)c1,C=CCN1[C]N(CCCC)C(C#N)=C1
QWHNKKXJBIGZOU-UHFFFAOYSA-N,Me,Vinyl,NH2,H,C=Cn1c[n+](C)cc1N,C=CN1[C]N(C)C=C1N
