inchikey,n1_frag,n3_frag,c4_frag,c5_frag,smiles_cation,smiles_neutral
HJSZGJTWHOUEOS-UHFFFAOYSA-N,Vinyl,Ethynyl,CF3,H,C#Cn1c[n+](C=C)cc1C(F)(F)F,C#CN1[C]N(C=C)C=C1C(F)(F)F
HKSWELGKWJWFAZ-UHFFFAOYSA-N,Et,Et,CF3,CF3,CCn1c[n+](CC)c(C(F)(F)F)c1C(F)(F)F,CCN1[C]N(CC)C(C(F)(F)F)=C1C(F)(F)F
HKVFJSUJTWQEGZ-UHFFFAOYSA-N,Me,tBu,NH2,F,C[n+]1cn(C(C)(C)C)c(N)c1F,CN1[C]N(C(C)(C)C)C(N)=C1F
HMAQDADTWBEOEM-UHFFFAOYSA-N,tBu,Ethynyl,NH2,CF3,C#Cn1c[n+](C(C)(C)C)c(C(F)(F)F)c1N,C#CN1[C]N(C(C)(C)C)C(C(F)(F)F)=C1N
HMOCAZCMXYCVNK-UHFFFAOYSA-N,Me,Ph,NO2,NH2,C[n+]1cn(-c2ccccc2)c([N+](=O)[O-])c1N,CN1[C]N(c2ccccc2)C([N+](=O)[O-])=C1N
HMVKJQACCGANSQ-UHFFFAOYSA-N,Vinyl,Vinyl,CN,CN,C=Cn1c[n+](C=C)c(C#N)c1C#N,C=CN1[C]N(C=C)C(C#N)=C1C#N
HMVKSPBJPSXVNF-UHFFFAOYSA-N,Et,tBu,CF3,CN,CC[n+]1cn(C(C)(C)C)c(C(F)(F)F)c1C#N,CCN1[C]N(C(C)(C)C)C(C(F)(F)F)=C1C#N
HNIRCNMLWZWOMG-UHFFFAOYSA-N,tBu,Ph,CF3,Me,Cc1c(C(F)(F)F)n(-c2ccccc2)c[n+]1C(C)(C)C,CC1=C(C(F)(F)F)N(c2ccccc2)[C]N1C(C)(C)C
HOTLTCYUFLFXHX-UHFFFAOYSA-N,nBu,Allyl,H,CF3,C=CCn1cc(C(F)(F)F)[n+](CCCC)c1,C=CCN1[C]N(CCCC)C(C(F)(F)F)=C1
HOVSLHRXRXGDKV-UHFFFAOYSA-N,Me,Et,OMe,Me,CCn1c[n+](C)c(C)c1OC,CCN1[C]N(C)C(C)=C1OC
HPHZKZUYOOOGFZ-UHFFFAOYSA-N,nBu,tBu,H,CN,CCCC[n+]1cn(C(C)(C)C)cc1C#N,CCCCN1[C]N(C(C)(C)C)C=C1C#N
HQAARBGBTIUKJR-UHFFFAOYSA-N,tBu,Propargyl,OMe,NH2,C#CCn1c[n+](C(C)(C)C)c(N)c1OC,C#CCN1[C]N(C(C)(C)C)C(N)=C1OC
HQASMFAEJPPBEZ-UHFFFAOYSA-N,nBu,Allyl,CF3,CN,C=CCn1c[n+](CCCC)c(C#N)c1C(F)(F)F,C=CCN1[C]N(CCCC)C(C#N)=C1C(F)(F)F
HQBKACVYCVFNMU-UHFFFAOYSA-N,Ethynyl,Propargyl,CN,CN,C#CCn1c[n+](C#C)c(C#N)c1C#N,C#CCN1[C]N(C#C)C(C#N)=C1C#N
HQDSCABPQYAOAL-UHFFFAOYSA-N,nBu,Vinyl,CF3,NO2,C=Cn1c[n+](CCCC)c([N+](=O)[O-])c1C(F)(F)F,C=CN1[C]N(CCCC)C([N+](=O)[O-])=C1C(F)(F)F
HQFVDAIFIIBURB-UHFFFAOYSA-N,tBu,Ethynyl,CN,CF3,C#Cn1c[n+](C(C)(C)C)c(C(F)(F)F)c1C#N,C#CN1[C]N(C(C)(C)C)C(C(F)(F)F)=C1C#N
HQPYJYZYMTVJHR-UHFFFAOYSA-N,nBu,Propargyl,NO2,NO2,C#CCn1c[n+](CCCC)c([N+](=O)[O-])c1[N+](=O)[O-],C#CCN1[C]N(CCCC)C([N+](=O)[O-])=C1[N+](=O)[O-]
HQTDDZADFHKXJZ-UHFFFAOYSA-N,Vinyl,Propargyl,NH2,NH2,C#CCn1c[n+](C=C)c(N)c1N,C#CCN1[C]N(C=C)C(N)=C1N
HQUIZVOUCCBBBC-UHFFFAOYSA-N,Et,Ph,H,F,CC[n+]1cn(-c2ccccc2)cc1F,CCN1[C]N(c2ccccc2)C=C1F
HRECWDNXEZAFNX-UHFFFAOYSA-N,Me,Vinyl,CF3,Me,C=Cn1c[n+](C)c(C)c1C(F)(F)F,C=CN1[C]N(C)C(C)=C1C(F)(F)F
HRFHAXPUVVXILQ-UHFFFAOYSA-N,Et,Allyl,CF3,F,C=CCn1c[n+](CC)c(F)c1C(F)(F)F,C=CCN1[C]N(CC)C(F)=C1C(F)(F)F
HRFLJFJKWFAMDT-UHFFFAOYSA-N,Vinyl,Ph,F,NO2,C=C[n+]1cn(-c2ccccc2)c(F)c1[N+](=O)[O-],C=CN1[C]N(c2ccccc2)C(F)=C1[N+](=O)[O-]
HRLYZBKKVZIAJY-UHFFFAOYSA-N,Ethynyl,Ph,NH2,NO2,C#C[n+]1cn(-c2ccccc2)c(N)c1[N+](=O)[O-],C#CN1[C]N(c2ccccc2)C(N)=C1[N+](=O)[O-]
HRVMWWLBJWCNTI-UHFFFAOYSA-N,Vinyl,Allyl,NO2,CF3,C=CCn1c[n+](C=C)c(C(F)(F)F)c1[N+](=O)[O-],C=CCN1[C]N(C=C)C(C(F)(F)F)=C1[N+](=O)[O-]
HRVPCQWVBGZKTL-UHFFFAOYSA-N,Me,Propargyl,OMe,NO2,C#CCn1c[n+](C)c([N+](=O)[O-])c1OC,C#CCN1[C]N(C)C([N+](=O)[O-])=C1OC
HRYJFKHMRVXJAV-UHFFFAOYSA-N,tBu,tBu,CN,CF3,CC(C)(C)n1c[n+](C(C)(C)C)c(C(F)(F)F)c1C#N,CC(C)(C)N1[C]N(C(C)(C)C)C(C(F)(F)F)=C1C#N
HSFATBVNJHPRDJ-UHFFFAOYSA-N,Et,Ethynyl,OMe,H,C#Cn1c[n+](CC)cc1OC,C#CN1[C]N(CC)C=C1OC
HSQODVJOAMXQSI-UHFFFAOYSA-N,Me,Vinyl,F,F,C=Cn1c[n+](C)c(F)c1F,C=CN1[C]N(C)C(F)=C1F
HSTOXVWNUASXOE-UHFFFAOYSA-N,tBu,Allyl,OMe,Me,C=CCn1c[n+](C(C)(C)C)c(C)c1OC,C=CCN1[C]N(C(C)(C)C)C(C)=C1OC
HTKTWFNNKHZGLR-UHFFFAOYSA-N,Vinyl,Vinyl,F,CF3,C=Cn1c[n+](C=C)c(C(F)(F)F)c1F,C=CN1[C]N(C=C)C(C(F)(F)F)=C1F
HTMUHSGDYRKHCC-UHFFFAOYSA-N,nBu,Propargyl,F,CF3,C#CCn1c[n+](CCCC)c(C(F)(F)F)c1F,C#CCN1[C]N(CCCC)C(C(F)(F)F)=C1F
HUAQTLANONPOKN-UHFFFAOYSA-N,Et,tBu,OMe,OMe,CC[n+]1cn(C(C)(C)C)c(OC)c1OC,CCN1[C]N(C(C)(C)C)C(OC)=C1OC
HUIFYHNSZKSMOF-UHFFFAOYSA-N,Vinyl,Ph,OMe,CN,C=C[n+]1cn(-c2ccccc2)c(OC)c1C#N,C=CN1[C]N(c2ccccc2)C(OC)=C1C#N
HUOXASXCYQBTLR-UHFFFAOYSA-N,tBu,Propargyl,CN,NO2,C#CCn1c[n+](C(C)(C)C)c([N+](=O)[O-])c1C#N,C#CCN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1C#N
HUVOVSPSRWJBJD-UHFFFAOYSA-N,Ethynyl,Ph,CF3,H,C#C[n+]1cc(C(F)(F)F)n(-c2ccccc2)c1,C#CN1[C]N(c2ccccc2)C(C(F)(F)F)=C1
HUZUNEHQOCXVQF-UHFFFAOYSA-N,Vinyl,Ph,CN,F,C=C[n+]1cn(-c2ccccc2)c(C#N)c1F,C=CN1[C]N(c2ccccc2)C(C#N)=C1F
HVLGOIVHLMHAAX-UHFFFAOYSA-N,Me,Ph,OMe,F,COc1c(F)[n+](C)cn1-c1ccccc1,COC1=C(F)N(C)[C]N1c1ccccc1
HVVRUQBMAZRKPJ-UHFFFAOYSA-N,Me,Me,H,H,Cn1cc[n+](C)c1,CN1[C]N(C)C=C1
HVYLRNKGPUPMDS-UHFFFAOYSA-N,nBu,iPr,OMe,NH2,CCCC[n+]1cn(C(C)C)c(OC)c1N,CCCCN1[C]N(C(C)C)C(OC)=C1N
HWEIACZWBZVUKE-UHFFFAOYSA-N,Et,iPr,NH2,NO2,CC[n+]1cn(C(C)C)c(N)c1[N+](=O)[O-],CCN1[C]N(C(C)C)C(N)=C1[N+](=O)[O-]
HXTGHXMDMFQZNF-UHFFFAOYSA-N,nBu,iPr,OMe,CN,CCCC[n+]1cn(C(C)C)c(OC)c1C#N,CCCCN1[C]N(C(C)C)C(OC)=C1C#N
HXXXNRGGTZJUHO-UHFFFAOYSA-N,Vinyl,Ph,NO2,NO2,C=C[n+]1cn(-c2ccccc2)c([N+](=O)[O-])c1[N+](=O)[O-],C=CN1[C]N(c2ccccc2)C([N+](=O)[O-])=C1[N+](=O)[O-]
HYGRQCPMCXOLHN-UHFFFAOYSA-N,nBu,Vinyl,H,NO2,C=Cn1cc([N+](=O)[O-])[n+](CCCC)c1,C=CN1[C]N(CCCC)C([N+](=O)[O-])=C1
HYKXXROLCIZNCM-UHFFFAOYSA-N,tBu,Allyl,H,OMe,C=CCn1cc(OC)[n+](C(C)(C)C)c1,C=CCN1[C]N(C(C)(C)C)C(OC)=C1
HYMWHVFBTOQFPE-UHFFFAOYSA-N,nBu,iPr,CN,Me,CCCC[n+]1cn(C(C)C)c(C#N)c1C,CCCCN1[C]N(C(C)C)C(C#N)=C1C
HYTJDFWMPORCAF-UHFFFAOYSA-N,Et,Allyl,NO2,Me,C=CCn1c[n+](CC)c(C)c1[N+](=O)[O-],C=CCN1[C]N(CC)C(C)=C1[N+](=O)[O-]
HYWGQPGXLJMFAQ-UHFFFAOYSA-N,Me,Vinyl,OMe,NH2,C=Cn1c[n+](C)c(N)c1OC,C=CN1[C]N(C)C(N)=C1OC
HYYOPEMVWVGDIH-UHFFFAOYSA-N,tBu,Ethynyl,CN,CN,C#Cn1c[n+](C(C)(C)C)c(C#N)c1C#N,C#CN1[C]N(C(C)(C)C)C(C#N)=C1C#N
HZHMGJWSWKNNMX-UHFFFAOYSA-N,Me,Propargyl,H,F,C#CCn1cc(F)[n+](C)c1,C#CCN1[C]N(C)C(F)=C1
HZOHQCHHWULZHG-UHFFFAOYSA-N,nBu,iPr,OMe,NO2,CCCC[n+]1cn(C(C)C)c(OC)c1[N+](=O)[O-],CCCCN1[C]N(C(C)C)C(OC)=C1[N+](=O)[O-]
HZSLQOIHHGNSJJ-UHFFFAOYSA-N,Me,Vinyl,NH2,CF3,C=Cn1c[n+](C)c(C(F)(F)F)c1N,C=CN1[C]N(C)C(C(F)(F)F)=C1N
HZTWGWVNDLBFEX-UHFFFAOYSA-N,Et,Ethynyl,OMe,Me,C#Cn1c[n+](CC)c(C)c1OC,C#CN1[C]N(CC)C(C)=C1OC
HZWYEIHUIYPBHJ-UHFFFAOYSA-N,Me,Et,NO2,NH2,CCn1c[n+](C)c(N)c1[N+](=O)[O-],CCN1[C]N(C)C(N)=C1[N+](=O)[O-]
IAESBLPJQUYKQX-UHFFFAOYSA-N,Vinyl,Allyl,NH2,CN,C=CCn1c[n+](C=C)c(C#N)c1N,C=CCN1[C]N(C=C)C(C#N)=C1N
IAHWLAKWYPXHMJ-UHFFFAOYSA-N,nBu,Ph,H,NO2,CCCC[n+]1cn(-c2ccccc2)cc1[N+](=O)[O-],CCCCN1[C]N(c2ccccc2)C=C1[N+](=O)[O-]
IAMGYDLVBCNWNB-UHFFFAOYSA-N,Et,Vinyl,OMe,NH2,C=Cn1c[n+](CC)c(N)c1OC,C=CN1[C]N(CC)C(N)=C1OC
IAMYIWFQHXLYBC-UHFFFAOYSA-N,Me,iPr,CN,OMe,COc1c(C#N)n(C(C)C)c[n+]1C,COC1=C(C#N)N(C(C)C)[C]N1C
IAPQCRIJFHJIKI-UHFFFAOYSA-N,Me,tBu,NO2,NO2,C[n+]1cn(C(C)(C)C)c([N+](=O)[O-])c1[N+](=O)[O-],CN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1[N+](=O)[O-]
IAUJUGVIIWVZPX-UHFFFAOYSA-N,nBu,Ph,NO2,OMe,CCCC[n+]1cn(-c2ccccc2)c([N+](=O)[O-])c1OC,CCCCN1[C]N(c2ccccc2)C([N+](=O)[O-])=C1OC
IAYDPCAFOOTFRE-UHFFFAOYSA-N,Ethynyl,Propargyl,H,H,C#CCn1cc[n+](C#C)c1,C#CCN1[C]N(C#C)C=C1
IBALRXGVLFAMBO-UHFFFAOYSA-N,Me,Ethynyl,H,NH2,C#Cn1cc(N)[n+](C)c1,C#CN1[C]N(C)C(N)=C1
IBFOYCLTUHRVIN-UHFFFAOYSA-N,nBu,Propargyl,CN,Me,C#CCn1c[n+](CCCC)c(C)c1C#N,C#CCN1[C]N(CCCC)C(C)=C1C#N
IBHIGJWPVRQSKA-UHFFFAOYSA-N,Vinyl,Ethynyl,F,OMe,C#Cn1c[n+](C=C)c(OC)c1F,C#CN1[C]N(C=C)C(OC)=C1F
IBTHRLVVPWYGJU-UHFFFAOYSA-N,tBu,Allyl,CF3,CF3,C=CCn1c[n+](C(C)(C)C)c(C(F)(F)F)c1C(F)(F)F,C=CCN1[C]N(C(C)(C)C)C(C(F)(F)F)=C1C(F)(F)F
IBTRPJDKKGFHAW-UHFFFAOYSA-N,Vinyl,Ethynyl,NH2,F,C#Cn1c[n+](C=C)c(F)c1N,C#CN1[C]N(C=C)C(F)=C1N
IBWLHHGEPYDHAG-UHFFFAOYSA-N,Me,Allyl,CF3,NO2,C=CCn1c[n+](C)c([N+](=O)[O-])c1C(F)(F)F,C=CCN1[C]N(C)C([N+](=O)[O-])=C1C(F)(F)F
IBXRKUIXEJXYNL-UHFFFAOYSA-N,Ethynyl,Ph,NO2,NO2,C#C[n+]1cn(-c2ccccc2)c([N+](=O)[O-])c1[N+](=O)[O-],C#CN1[C]N(c2ccccc2)C([N+](=O)[O-])=C1[N+](=O)[O-]
ICRZRSQKFJUNID-UHFFFAOYSA-N,nBu,Ph,H,H,CCCC[n+]1ccn(-c2ccccc2)c1,CCCCN1[C]N(c2ccccc2)C=C1
ICVLZTUTIQEANK-UHFFFAOYSA-N,Vinyl,Ph,F,F,C=C[n+]1cn(-c2ccccc2)c(F)c1F,C=CN1[C]N(c2ccccc2)C(F)=C1F
ICVUCGZBSTUPOE-UHFFFAOYSA-N,nBu,Allyl,OMe,NO2,C=CCn1c[n+](CCCC)c([N+](=O)[O-])c1OC,C=CCN1[C]N(CCCC)C([N+](=O)[O-])=C1OC
ICZZGWRKTKBZIY-UHFFFAOYSA-N,Me,Vinyl,NH2,NH2,C=Cn1c[n+](C)c(N)c1N,C=CN1[C]N(C)C(N)=C1N
IDGQHUBFKUDTRR-UHFFFAOYSA-N,nBu,Ethynyl,NO2,CF3,C#Cn1c[n+](CCCC)c(C(F)(F)F)c1[N+](=O)[O-],C#CN1[C]N(CCCC)C(C(F)(F)F)=C1[N+](=O)[O-]
IDHCOEGDSHYALL-UHFFFAOYSA-N,tBu,Propargyl,CF3,Me,C#CCn1c[n+](C(C)(C)C)c(C)c1C(F)(F)F,C#CCN1[C]N(C(C)(C)C)C(C)=C1C(F)(F)F
IDZXEKPIWUGLAG-UHFFFAOYSA-N,tBu,Vinyl,NH2,CN,C=Cn1c[n+](C(C)(C)C)c(C#N)c1N,C=CN1[C]N(C(C)(C)C)C(C#N)=C1N
IEDVENBIDRZNIS-UHFFFAOYSA-N,Me,Allyl,H,F,C=CCn1cc(F)[n+](C)c1,C=CCN1[C]N(C)C(F)=C1
IEMLINGBMFLLMT-UHFFFAOYSA-N,Me,Et,CF3,CN,CCn1c[n+](C)c(C#N)c1C(F)(F)F,CCN1[C]N(C)C(C#N)=C1C(F)(F)F
IERLZGQLRBNYPD-UHFFFAOYSA-N,Me,Vinyl,H,CN,C=Cn1cc(C#N)[n+](C)c1,C=CN1[C]N(C)C(C#N)=C1
IEVMINUPNHCOEW-UHFFFAOYSA-N,nBu,Vinyl,NH2,NO2,C=Cn1c[n+](CCCC)c([N+](=O)[O-])c1N,C=CN1[C]N(CCCC)C([N+](=O)[O-])=C1N
IEXCTJAXNUPPRX-UHFFFAOYSA-N,nBu,Propargyl,NH2,H,C#CCn1c[n+](CCCC)cc1N,C#CCN1[C]N(CCCC)C=C1N
IEYQQZLAOJQYEW-UHFFFAOYSA-N,tBu,Vinyl,CF3,H,C=Cn1c[n+](C(C)(C)C)cc1C(F)(F)F,C=CN1[C]N(C(C)(C)C)C=C1C(F)(F)F
IEYYJAZZTGKDRT-UHFFFAOYSA-N,Et,Et,F,OMe,CCn1c[n+](CC)c(OC)c1F,CCN1[C]N(CC)C(OC)=C1F
IFVFRILLACXUKE-UHFFFAOYSA-N,tBu,Ethynyl,F,NH2,C#Cn1c[n+](C(C)(C)C)c(N)c1F,C#CN1[C]N(C(C)(C)C)C(N)=C1F
IFZCXXAZVXIEKV-UHFFFAOYSA-N,Ethynyl,Ethynyl,F,F,C#Cn1c[n+](C#C)c(F)c1F,C#CN1[C]N(C#C)C(F)=C1F
IFZKBBMJJBGMRF-UHFFFAOYSA-N,Me,tBu,CN,CN,C[n+]1cn(C(C)(C)C)c(C#N)c1C#N,CN1[C]N(C(C)(C)C)C(C#N)=C1C#N
IGJCAJSPAQEMHC-UHFFFAOYSA-N,Me,tBu,H,OMe,COc1cn(C(C)(C)C)c[n+]1C,COC1=CN(C(C)(C)C)[C]N1C
IGUCLXGHQOAAHV-UHFFFAOYSA-N,Me,Allyl,F,OMe,C=CCn1c[n+](C)c(OC)c1F,C=CCN1[C]N(C)C(OC)=C1F
IHDVQHXUZTYCNU-UHFFFAOYSA-N,Vinyl,Ethynyl,CF3,CF3,C#Cn1c[n+](C=C)c(C(F)(F)F)c1C(F)(F)F,C#CN1[C]N(C=C)C(C(F)(F)F)=C1C(F)(F)F
IIOAIOSGPPAUDW-UHFFFAOYSA-N,Vinyl,Ph,NH2,Me,C=C[n+]1cn(-c2ccccc2)c(N)c1C,C=CN1[C]N(c2ccccc2)C(N)=C1C
IIQANTGBRDPINM-UHFFFAOYSA-N,tBu,Allyl,NO2,OMe,C=CCn1c[n+](C(C)(C)C)c(OC)c1[N+](=O)[O-],C=CCN1[C]N(C(C)(C)C)C(OC)=C1[N+](=O)[O-]
IJDIGSREOYKSAS-UHFFFAOYSA-N,Me,iPr,OMe,OMe,COc1c(OC)[n+](C)cn1C(C)C,COC1=C(OC)N(C(C)C)[C]N1C
IJJWJVLEODCHIY-UHFFFAOYSA-N,Vinyl,Allyl,NH2,Me,C=CCn1c[n+](C=C)c(C)c1N,C=CCN1[C]N(C=C)C(C)=C1N
IJOSCJHCRGUZPR-UHFFFAOYSA-N,Ethynyl,Ph,CN,CF3,C#C[n+]1cn(-c2ccccc2)c(C#N)c1C(F)(F)F,C#CN1[C]N(c2ccccc2)C(C#N)=C1C(F)(F)F
IKAJLURKGVJJJT-UHFFFAOYSA-N,Et,Propargyl,H,F,C#CCn1cc(F)[n+](CC)c1,C#CCN1[C]N(CC)C(F)=C1
IKEQFKLWDBKNOP-UHFFFAOYSA-N,Ethynyl,Propargyl,CF3,H,C#CCn1c[n+](C#C)cc1C(F)(F)F,C#CCN1[C]N(C#C)C=C1C(F)(F)F
IKMMLKCXRQRECQ-UHFFFAOYSA-N,nBu,tBu,NH2,CN,CCCC[n+]1cn(C(C)(C)C)c(N)c1C#N,CCCCN1[C]N(C(C)(C)C)C(N)=C1C#N
IKQLFEIREMWRHD-UHFFFAOYSA-N,tBu,Vinyl,CF3,CF3,C=Cn1c[n+](C(C)(C)C)c(C(F)(F)F)c1C(F)(F)F,C=CN1[C]N(C(C)(C)C)C(C(F)(F)F)=C1C(F)(F)F
ILCFRBMQJAZBHN-UHFFFAOYSA-N,Me,Ph,NO2,Me,Cc1c([N+](=O)[O-])n(-c2ccccc2)c[n+]1C,CC1=C([N+](=O)[O-])N(c2ccccc2)[C]N1C
IMEPYHJFPYDTPM-UHFFFAOYSA-N,Me,tBu,NH2,NH2,C[n+]1cn(C(C)(C)C)c(N)c1N,CN1[C]N(C(C)(C)C)C(N)=C1N
IMLDVMPWQAGSSA-UHFFFAOYSA-N,Ethynyl,Ethynyl,NO2,NO2,C#Cn1c[n+](C#C)c([N+](=O)[O-])c1[N+](=O)[O-],C#CN1[C]N(C#C)C([N+](=O)[O-])=C1[N+](=O)[O-]
IMZXCUGRNPEPTB-UHFFFAOYSA-N,Me,Propargyl,OMe,CF3,C#CCn1c[n+](C)c(C(F)(F)F)c1OC,C#CCN1[C]N(C)C(C(F)(F)F)=C1OC
INBGNCHTALUSSM-UHFFFAOYSA-N,Et,tBu,NO2,CN,CC[n+]1cn(C(C)(C)C)c([N+](=O)[O-])c1C#N,CCN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1C#N
INBULGXHLWUINF-UHFFFAOYSA-N,nBu,iPr,OMe,F,CCCC[n+]1cn(C(C)C)c(OC)c1F,CCCCN1[C]N(C(C)C)C(OC)=C1F
INPOMCPRCBDMKE-UHFFFAOYSA-N,tBu,tBu,H,NO2,CC(C)(C)n1cc([N+](=O)[O-])[n+](C(C)(C)C)c1,CC(C)(C)N1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1
IONVYTJJEGVFLD-UHFFFAOYSA-N,Et,Ethynyl,NO2,OMe,C#Cn1c[n+](CC)c(OC)c1[N+](=O)[O-],C#CN1[C]N(CC)C(OC)=C1[N+](=O)[O-]
IOSPVMIOUMMKPN-UHFFFAOYSA-N,tBu,Ethynyl,CF3,CN,C#Cn1c[n+](C(C)(C)C)c(C#N)c1C(F)(F)F,C#CN1[C]N(C(C)(C)C)C(C#N)=C1C(F)(F)F
IOSUWHWFVCNTNQ-UHFFFAOYSA-N,Me,Allyl,CN,OMe,C=CCn1c[n+](C)c(OC)c1C#N,C=CCN1[C]N(C)C(OC)=C1C#N
IOZPHDZCXZFLJG-UHFFFAOYSA-N,Me,Me,NO2,NH2,Cn1c[n+](C)c(N)c1[N+](=O)[O-],CN1[C]N(C)C([N+](=O)[O-])=C1N
IPBOYRXMXSBFGS-UHFFFAOYSA-N,Me,tBu,NH2,CF3,C[n+]1cn(C(C)(C)C)c(N)c1C(F)(F)F,CN1[C]N(C(C)(C)C)C(N)=C1C(F)(F)F
IPMZWBRHUWBMSP-UHFFFAOYSA-N,Vinyl,Vinyl,H,CN,C=Cn1cc(C#N)[n+](C=C)c1,C=CN1[C]N(C=C)C(C#N)=C1
IPNKKUJCIUJETE-UHFFFAOYSA-N,Et,Propargyl,F,Me,C#CCn1c[n+](CC)c(C)c1F,C#CCN1[C]N(CC)C(C)=C1F
IPTXUHAEFKTLLU-UHFFFAOYSA-N,Me,Ethynyl,H,F,C#Cn1cc(F)[n+](C)c1,C#CN1[C]N(C)C(F)=C1
IPVBTTNJPZVNBG-UHFFFAOYSA-N,nBu,iPr,NH2,CN,CCCC[n+]1cn(C(C)C)c(N)c1C#N,CCCCN1[C]N(C(C)C)C(N)=C1C#N
IQRKIWZBIJVRCJ-UHFFFAOYSA-N,nBu,Ethynyl,F,CF3,C#Cn1c[n+](CCCC)c(C(F)(F)F)c1F,C#CN1[C]N(CCCC)C(C(F)(F)F)=C1F
IRGYIGCJMBSASN-UHFFFAOYSA-N,Me,Ph,F,OMe,COc1c(F)n(-c2ccccc2)c[n+]1C,COC1=C(F)N(c2ccccc2)[C]N1C
IRJLCUAAKOVVIP-UHFFFAOYSA-N,Me,Ethynyl,CF3,NO2,C#Cn1c[n+](C)c([N+](=O)[O-])c1C(F)(F)F,C#CN1[C]N(C)C([N+](=O)[O-])=C1C(F)(F)F
IRQWYWISPUGHHU-UHFFFAOYSA-N,tBu,Ethynyl,NH2,NO2,C#Cn1c[n+](C(C)(C)C)c([N+](=O)[O-])c1N,C#CN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1N
ISSXXMAXQSQRCT-UHFFFAOYSA-N,Me,Propargyl,NH2,F,C#CCn1c[n+](C)c(F)c1N,C#CCN1[C]N(C)C(F)=C1N
IUMBXXVZQGGVRT-UHFFFAOYSA-N,nBu,Ethynyl,CF3,NO2,C#Cn1c[n+](CCCC)c([N+](=O)[O-])c1C(F)(F)F,C#CN1[C]N(CCCC)C([N+](=O)[O-])=C1C(F)(F)F
IVMZTUTXWBWDDB-UHFFFAOYSA-N,Et,Ph,F,CF3,CC[n+]1cn(-c2ccccc2)c(F)c1C(F)(F)F,CCN1[C]N(c2ccccc2)C(F)=C1C(F)(F)F
IWPRIQFDEZMCNQ-UHFFFAOYSA-N,tBu,Propargyl,F,CN,C#CCn1c[n+](C(C)(C)C)c(C#N)c1F,C#CCN1[C]N(C(C)(C)C)C(C#N)=C1F
IYUMLWHXPQNJTD-UHFFFAOYSA-N,Et,tBu,H,CF3,CC[n+]1cn(C(C)(C)C)cc1C(F)(F)F,CCN1[C]N(C(C)(C)C)C=C1C(F)(F)F
IYURKGKENVZSGN-UHFFFAOYSA-N,tBu,Ph,H,CN,CC(C)(C)[n+]1cn(-c2ccccc2)cc1C#N,CC(C)(C)N1[C]N(c2ccccc2)C=C1C#N
IYYQFTPEFIMXFC-UHFFFAOYSA-N,Et,Allyl,CN,NH2,C=CCn1c[n+](CC)c(N)c1C#N,C=CCN1[C]N(CC)C(N)=C1C#N
IZHTYBQRYYYVRZ-UHFFFAOYSA-N,Me,Ph,CN,NO2,C[n+]1cn(-c2ccccc2)c(C#N)c1[N+](=O)[O-],CN1[C]N(c2ccccc2)C(C#N)=C1[N+](=O)[O-]
JBDBWFGAMMEDAT-UHFFFAOYSA-N,nBu,Ph,NH2,NH2,CCCC[n+]1cn(-c2ccccc2)c(N)c1N,CCCCN1[C]N(c2ccccc2)C(N)=C1N
JCJKUEGIXPZFRG-UHFFFAOYSA-N,Vinyl,Ph,OMe,F,C=C[n+]1cn(-c2ccccc2)c(OC)c1F,C=CN1[C]N(c2ccccc2)C(OC)=C1F
JCYVYUCMKGZUHD-UHFFFAOYSA-N,Me,Allyl,CF3,NH2,C=CCn1c[n+](C)c(N)c1C(F)(F)F,C=CCN1[C]N(C)C(N)=C1C(F)(F)F
JDHYDZNLCDDZBR-UHFFFAOYSA-N,Me,Ethynyl,NO2,NH2,C#Cn1c[n+](C)c(N)c1[N+](=O)[O-],C#CN1[C]N(C)C(N)=C1[N+](=O)[O-]
JDLHQJLKRXTOPO-UHFFFAOYSA-N,Et,Vinyl,F,NO2,C=Cn1c[n+](CC)c([N+](=O)[O-])c1F,C=CN1[C]N(CC)C([N+](=O)[O-])=C1F
JECANEYRVZYQBQ-UHFFFAOYSA-N,Et,Ph,NH2,F,CC[n+]1cn(-c2ccccc2)c(N)c1F,CCN1[C]N(c2ccccc2)C(N)=C1F
JEKUPZHTQUDCPX-UHFFFAOYSA-N,Me,tBu,OMe,OMe,COc1c(OC)[n+](C)cn1C(C)(C)C,COC1=C(OC)N(C(C)(C)C)[C]N1C
JEOIHOACFUHHGI-UHFFFAOYSA-N,tBu,Vinyl,H,NH2,C=Cn1cc(N)[n+](C(C)(C)C)c1,C=CN1[C]N(C(C)(C)C)C(N)=C1
JEVAAWYUGZXTCP-UHFFFAOYSA-N,tBu,Ethynyl,CN,H,C#Cn1c[n+](C(C)(C)C)cc1C#N,C#CN1[C]N(C(C)(C)C)C=C1C#N
JFWIVDSPYBBZHJ-UHFFFAOYSA-N,Et,Allyl,CN,H,C=CCn1c[n+](CC)cc1C#N,C=CCN1[C]N(CC)C=C1C#N
JGLXHVMLWJYWON-UHFFFAOYSA-N,Et,Allyl,CF3,OMe,C=CCn1c[n+](CC)c(OC)c1C(F)(F)F,C=CCN1[C]N(CC)C(OC)=C1C(F)(F)F
